Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Id,Venue,Venue Latitude,Venue Longitude,Venue Category
Greenpoint,40.7302009848647,-73.95424093127393,45ed04d8f964a520a9431fe3,Peter Pan Donut & Pastry Shop,40.726102,-73.952252,Donut Shop
Greenpoint,40.7302009848647,-73.95424093127393,4a5a78f1f964a52064ba1fe3,Anella,40.73327191911455,-73.95801948957296,American Restaurant
Greenpoint,40.7302009848647,-73.95424093127393,5650aecb498edc1811df4527,Vittles,40.72783349952013,-73.95698783339796,Café
Greenpoint,40.7302009848647,-73.95424093127393,4be9d4284f5576b08311b396,Vamos Al Tequila,40.730715435561976,-73.95771406506972,Mexican Restaurant
Greenpoint,40.7302009848647,-73.95424093127393,52c9fa96498e73da2c1183cd,Oasis,40.72900062533678,-73.95038557156246,Falafel Restaurant
Greenpoint,40.7302009848647,-73.95424093127393,5165f61490e7403845dff8a3,Alameda,40.7334267350945,-73.95820087509992,New American Restaurant
Greenpoint,40.7302009848647,-73.95424093127393,564df7a6498e7b03a1b5e113,Polka Dot,40.72607234859372,-73.95210119026234,Polish Restaurant
Greenpoint,40.7302009848647,-73.95424093127393,4ab947baf964a520c17e20e3,Russ Pizza,40.72645867309902,-73.95235989468806,Pizza Place
Greenpoint,40.7302009848647,-73.95424093127393,5cfda20a0d8a0f002cba15f3,Madre,40.73304,-73.95796,Restaurant
Greenpoint,40.7302009848647,-73.95424093127393,5b5a55eb2463d80044aa5775,Ramen Mafia,40.732712972220824,-73.95800528284975,Ramen Restaurant
Greenpoint,40.7302009848647,-73.95424093127393,51a5445c498ee0f182370cb2,Agra Taj Mahal,40.733321,-73.954928,Indian Restaurant
Greenpoint,40.7302009848647,-73.95424093127393,4aba7062f964a5204e8120e3,Triangolo Pizzeria,40.7336509812184,-73.95482948305418,Pizza Place
Greenpoint,40.7302009848647,-73.95424093127393,561eef16498e73af804a6752,Barley,40.73391856876721,-73.95494308195431,Burger Joint
Greenpoint,40.7302009848647,-73.95424093127393,5a98492083e3807c830d584e,KanaHashi,40.73261526084619,-73.95467545941128,Sushi Restaurant
Greenpoint,40.7302009848647,-73.95424093127393,4ae4d993f964a520cc9e21e3,Casanova Family Italian Restaurant & Pizzeria,40.7340567527229,-73.95208213969691,Pizza Place
Greenpoint,40.7302009848647,-73.95424093127393,53f68a56498e0d297ec88b01,Ria Bella Pizza,40.73457627490018,-73.95506041329396,Pizza Place
Greenpoint,40.7302009848647,-73.95424093127393,4a6231d8f964a52056c31fe3,Franklin Corner Cafe,40.73280533069672,-73.95808134585396,Deli / Bodega
Greenpoint,40.7302009848647,-73.95424093127393,4abd867df964a520d78a20e3,Shang Hai Lee,40.731829236676546,-73.95784627979856,Chinese Restaurant
Greenpoint,40.7302009848647,-73.95424093127393,4ab6b093f964a520947820e3,Yummy Taco,40.73145844318047,-73.95449981533085,Mexican Restaurant
Greenpoint,40.7302009848647,-73.95424093127393,4e80ed6b61af125dac38474d,Fresh Stop,40.73242511305198,-73.95476809155657,Deli / Bodega
Greenpoint,40.7302009848647,-73.95424093127393,4b088dc0f964a520450e23e3,Greenpoint Fruit & Deli,40.732502506492764,-73.954629375167,Deli / Bodega
Greenpoint,40.7302009848647,-73.95424093127393,4f73917fe4b062fe7cd75d0f,Manhatan Deli Corp,40.73294875346183,-73.95479583486791,Deli / Bodega
Greenpoint,40.7302009848647,-73.95424093127393,4bba86967421a593b7f1c340,Hop Lee Kitchen,40.732966597810126,-73.95465735763186,Chinese Restaurant
Greenpoint,40.7302009848647,-73.95424093127393,4e8dc25761af7424dab4932d,Northwest Deli,40.733175,-73.954768,Deli / Bodega
Greenpoint,40.7302009848647,-73.95424093127393,4af5a851f964a520edfa21e3,P.A. Deli Grill Grocery,40.731958534466024,-73.95792984199697,Deli / Bodega
Greenpoint,40.7302009848647,-73.95424093127393,5a847aec7dc9e1675d412f1f,Afgan Kabab & Grill House,40.733519,-73.954962,Kebab Restaurant
Greenpoint,40.7302009848647,-73.95424093127393,4c975cca58d4b60c436c4229,Pointview Deli Restaurant,40.73080510529706,-73.94939420253064,Deli / Bodega
Greenpoint,40.7302009848647,-73.95424093127393,4f321d0719836c91c7b73e1d,Greenpoint Ave Deli,40.730678,-73.94922,Deli / Bodega
Greenpoint,40.7302009848647,-73.95424093127393,4b5659c4f964a520b50c28e3,Green Leaf Chinese Restaurant,40.734075841583184,-73.9549278544934,Chinese Restaurant
Greenpoint,40.7302009848647,-73.95424093127393,591fa1e962420b2d9a39b7df,Glasserie Pop-Up,40.733023,-73.958034,Mediterranean Restaurant
Greenpoint,40.7302009848647,-73.95424093127393,50a9a31ce4b02938bf6cc963,Franklin Mini Mart,40.73326007833051,-73.95818813701861,Deli / Bodega
Manhattan Terrace,40.61443251335098,-73.95743840559939,4a14a3ccf964a52061781fe3,Benny's Brick Oven Pizza,40.61826558245511,-73.95712545664973,Pizza Place
Manhattan Terrace,40.61443251335098,-73.95743840559939,4c1da30f01379521834647f3,Dunkin',40.61051996545028,-73.95452012086679,Donut Shop
Manhattan Terrace,40.61443251335098,-73.95743840559939,4e89e5fa8b81454b77651fe9,Posh Kosher Pizza,40.618352088945095,-73.95805451436021,Pizza Place
Manhattan Terrace,40.61443251335098,-73.95743840559939,50199599011cecae1f8b8968,Moldova Restaurant Brooklyn,40.61294186114433,-73.96286899619373,Steakhouse
Manhattan Terrace,40.61443251335098,-73.95743840559939,4be0b1bbcb81c9b61abd668b,Oh! Bagel,40.614620194064045,-73.96320566611656,Bagel Shop
Manhattan Terrace,40.61443251335098,-73.95743840559939,5713c023498e6653dfa1855d,Dunkin',40.61436636178479,-73.96287380369449,Donut Shop
Manhattan Terrace,40.61443251335098,-73.95743840559939,4bf890acabdaef3b69b7a184,Masake,40.61822685283506,-73.95796086182948,Japanese Restaurant
Manhattan Terrace,40.61443251335098,-73.95743840559939,4b509d10f964a520772927e3,Jerusalem II Pizza,40.61794290485054,-73.96008538058996,Pizza Place
Manhattan Terrace,40.61443251335098,-73.95743840559939,4bf090ed3a15d13a7cbd3e9f,Tea for Two Sushi and Noodle Bar,40.61708476802521,-73.95655570664675,Sushi Restaurant
Manhattan Terrace,40.61443251335098,-73.95743840559939,4e6fed0845dd04ee465b443b,Burger Shop,40.61683306987118,-73.95919261437253,Burger Joint
Manhattan Terrace,40.61443251335098,-73.95743840559939,4d91f9a1d7b1236a6e343c38,Golden chopsticks,40.61322,-73.95387,Chinese Restaurant
Manhattan Terrace,40.61443251335098,-73.95743840559939,4e6d1df6b993a52683448331,International News,40.61807675221801,-73.95777486481806,Deli / Bodega
Manhattan Terrace,40.61443251335098,-73.95743840559939,4f4a44ebe4b0ecc814956dd4,Chap A Nosh Plus,40.61772271404372,-73.96003063147884,Bakery
Manhattan Terrace,40.61443251335098,-73.95743840559939,4b509c98f964a520622927e3,Presser Kosher Baking,40.6182778264186,-73.95769141547653,Bakery
Manhattan Terrace,40.61443251335098,-73.95743840559939,4f43ce2d19836ed00190bd11,Avenue M Kosher Bagels,40.618274429336985,-73.9576887663316,Bakery
Manhattan Terrace,40.61443251335098,-73.95743840559939,4b2c56fef964a52008c624e3,Chap-a-Nosh,40.61783247376215,-73.96001156040242,Chinese Restaurant
Manhattan Terrace,40.61443251335098,-73.95743840559939,4bd4ef1f6f649521c0726eec,Peking Kitchen,40.618352920234514,-73.95685582296984,Chinese Restaurant
Manhattan Terrace,40.61443251335098,-73.95743840559939,4bee9948d355a593cc090b60,Hot Bagels,40.61795155872402,-73.9598086433778,Bagel Shop
Manhattan Terrace,40.61443251335098,-73.95743840559939,4b509c13f964a5204f2927e3,Kaff's Bakery,40.61845855401029,-73.95677612001414,Bakery
Manhattan Terrace,40.61443251335098,-73.95743840559939,4f257954e4b04d36def6a20b,Jerusalem 2 Pizza,40.61796910217771,-73.96010524926392,Pizza Place
Manhattan Terrace,40.61443251335098,-73.95743840559939,581a2021d7d30f446bb0ee4d,The New Pizza Professor,40.618412,-73.95628,Pizza Place
Manhattan Terrace,40.61443251335098,-73.95743840559939,5207d05d11d2e16e2a077347,King Solomon Express,40.61385,-73.96282,Restaurant
Manhattan Terrace,40.61443251335098,-73.95743840559939,51c76c2b498efa785c3710a7,King Solomon Glatt Kosher,40.613704373192526,-73.96279721005405,Eastern European Restaurant
Manhattan Terrace,40.61443251335098,-73.95743840559939,5a8c95d81acf114354d19fa9,Falafel Tanami,40.618683,-73.95811,Falafel Restaurant
Manhattan Terrace,40.61443251335098,-73.95743840559939,528d182b11d29251ad2f3b5c,Chadash Kosher Pizza,40.618504,-73.955671,Pizza Place
Manhattan Terrace,40.61443251335098,-73.95743840559939,4e3f28971495bf24a5f21d27,Gonzalez Grocery,40.618213905929515,-73.95457889166309,Deli / Bodega
Manhattan Terrace,40.61443251335098,-73.95743840559939,50784b788aca77683d5d6dce,Chocochino Cafe,40.61368367552839,-73.96323323249817,Café
Manhattan Terrace,40.61443251335098,-73.95743840559939,4b40c863f964a52006bb25e3,Dunkin',40.617786879607735,-73.95964649076211,Donut Shop
Windsor Terrace,40.65694583575104,-73.98007340430172,53f5e375498ea900654d8218,Brunswick,40.65942759201671,-73.98132991128122,Café
Windsor Terrace,40.65694583575104,-73.98007340430172,5361a097498e40a31baa411c,Krupa Grocery,40.65995716793667,-73.9806956999739,American Restaurant
Windsor Terrace,40.65694583575104,-73.98007340430172,54e39b14498e9c646b42958e,East Wind Snack Shop,40.660297,-73.980169,Chinese Restaurant
Windsor Terrace,40.65694583575104,-73.98007340430172,4cc5b65b01fb236a4d41b3ba,Bedawi Cafe,40.6585880576543,-73.98202023055737,Middle Eastern Restaurant
Windsor Terrace,40.65694583575104,-73.98007340430172,5c4ce1ccdd8442002c2bfb4f,Daytime,40.65858,-73.9781,Café
Windsor Terrace,40.65694583575104,-73.98007340430172,49bf04caf964a52000551fe3,Terrace Bagels,40.660019729450475,-73.98077900256138,Bagel Shop
Windsor Terrace,40.65694583575104,-73.98007340430172,4aa058fcf964a520433f20e3,Sushi Yama,40.658542075971724,-73.98205414694895,Sushi Restaurant
Windsor Terrace,40.65694583575104,-73.98007340430172,4cfc0ea52d80a1436b0c4fd8,Terrace Coffee Shop,40.65458880590596,-73.97920811893258,Diner
