Id,Price,Rating
3fd66200f964a52056ee1ee3,Cheap,8.8
3fd66200f964a52088e91ee3,Moderate,8.7
3fd66200f964a520b1e91ee3,Expensive,8.8
3fd66200f964a520cae41ee3,Cheap,7.5
3fd66200f964a520ede91ee3,Moderate,8.1
414e1d80f964a520ee1c1fe3,Moderate,0
42dc4280f964a52036261fe3,Expensive,7.6
42dc4280f964a5203b261fe3,Moderate,7.6
43276800f964a520b7271fe3,Moderate,8
436fea80f964a520f9291fe3,Moderate,7.7
43a7557bf964a5206b2c1fe3,Cheap,9
449f923ff964a520c5341fe3,Cheap,8
459b830af964a5208b401fe3,Cheap,8
467e1d72f964a5200f481fe3,Expensive,8.7
4785ef6ff964a520354d1fe3,Cheap,6.9
49bad154f964a520b5531fe3,Expensive,7.9
49d534c8f964a5207a5c1fe3,Moderate,0
49f10c98f964a52083691fe3,Cheap,8.8
49f5d88ff964a520c26b1fe3,Cheap,8.1
49fa7378f964a520fd6d1fe3,Cheap,6.2
49fb5a63f964a520396e1fe3,Cheap,7.7
4a2048e8f964a520687c1fe3,Moderate,8.9
4a272aeef964a52063911fe3,Expensive,8.6
4a3ef784f964a52098a31fe3,Moderate,7.8
4a411158f964a520baa41fe3,Cheap,7
4a6c86acf964a520b7d01fe3,Moderate,8.7
4a75edcff964a520b3e11fe3,Moderate,8.5
4a81f12ff964a5200df81fe3,None,7
4a99b4f4f964a520f62f20e3,Very Expensive,8.7
4abfd284f964a5207a9220e3,Moderate,7.5
4acf6ed7f964a520a0d320e3,Moderate,6.8
4ad8d0e5f964a520f11421e3,Moderate,8.6
4ae63608f964a520a8a521e3,Moderate,6.5
4aef3629f964a5209dd621e3,Moderate,8.5
4b02f734f964a520814b22e3,Moderate,8.8
4b2fadfdf964a520e6ed24e3,Cheap,8.8
4b4f6600f964a520cf0427e3,Moderate,8.3
4b76e514f964a5200c682ee3,Cheap,8.6
4b9709fcf964a520c4f434e3,Moderate,9.3
4bb79d4b3db7b7139d42209a,None,7.9
4bb8f6fa53649c74908d47fb,Moderate,6.4
4bc4fff66cccd13a7e99ff8b,Expensive,7.7
4bdafcc863c5c9b6d9bd2568,Cheap,6.6
4bdb4bf54b1f952169ac670b,None,7.7
4be5b3aa910020a11958d314,Cheap,0
4bed937cbac3c9b65c81fee9,Moderate,0
4c0eb436336220a147a4cc77,Moderate,0
4c463722cd5ca5935b2d0087,Moderate,0
4c76a18aff1fb60c857bf9a7,Moderate,7.2
4c80275174d7b60c4c0d6bd8,Moderate,0
4ccedf7c3cb6b713d816c4c8,Moderate,0
4cddae25ffcf370448200d82,Moderate,0
4d2ba0e26e27a14319873924,Moderate,0
4d30d940f714236ab68b7ca5,Cheap,8.7
4d338bdf8c42a1cdd919f35d,Cheap,0
